NCAS-AP	UK	Academic
NCAS-C	UK	Academic
Leeds	UK	Academic
Reading	UK	Academic
CEH	UK	Academic
MetOffice	UK	Operational
ACMAD	International	Academic
ICPAC	International	Academic
ANACIM	Senegal	Operational
UCAD	Senegal	Academic
GMet	Ghana	Operational
KNUST	Ghana	Academic
NiMet	Nigeria	Operational
FUTA	Nigeria	Academic
KMD	Kenya	Operational
UoN	Kenya	Academic
WMO	Switzerland	Operational
