D-M1.24	WP-M1	Recruitment	NCAS-AP	Lorraine Youds	2018-03-01		Primary recruitment completed in Project Office, January 2019.	100	No papers planned.		2020-01-19
D-M1.8	WP-M1	Communications: website, promotional materials, advertising, coordination of articles published, logo, etc.	NCAS-AP	Communications Officer	2018-09-01		Main actions completed. All needs ongoing maintenance.	100	No paper.		2020-01-19
D-M1.11	WP-M1	Assurance Documentation	NCAS-AP	Lorraine Youds	2018-09-01		Completed.	100			2020-01-19
D-M1.25	WP-M1	Budgeting & Finance protocol	NCAS-AP	Lorraine Youds	2018-09-01		Completed	100			2020-01-19
D-M1.12	WP-M1	Whole project meeting 2019	NCAS-AP	Lorraine Youds	2019-08-01		Successfully delivered.	100			2020-01-19
D-M1.16	WP-M1	Lead Scientist and Programme Manager travel to partner institutions	NCAS-AP	Lorraine Youds	2020-03-01		All partners visited since the start of the project.	100			2020-01-19
D-R1.1	WP-R1	Report on current state of knowledge regarding user needs for forecasts at different timescales in each sector.	UoL	Andrea Taylor	2018-06-01	"Submitted on 12th July 2018
"		100	ERL		2019-12-01
D-PB.2	WP-PB	Nowcasting for Africa	UoL	D-PB.2	2021-01-01			0			2019-12-01
D-R5.6	WP-R5	Develop new training material on the realtionship between the synoptic and the meso-scale (e.g. case studies)	UCAD	Abdou Lahat Dieng	2021-12-01	Some case studying are under going to well document the training material  on synoptic/mesoscale relationship		15			2019-12-01
D-R2.7	WP-R2	Baseline evaluation of weather forecast skill and updates as the project evolves, for M&E.	UoR	Thorwald Stein	2021-09-01			0			2019-12-01
D-R2.8	WP-R2	Joint deliverable  with WP-R2: User evaluation of forecast utility, and guide to impact based forecasting	UoL	Andy Dougill	2021-09-01			0			2019-12-01
D-R6.1	WP-R6	Scientific papers on sub-seasonal drivers of variability	UCAD	Coumba Niang	2021-12-01			50	"Published:
1 paper on The influence of global climate drivers on monsoon onset variability in Nigeria using S2S models
Submitted:
1 paper on MJO links to synoptic patterns and modulation by the MJO and IOD. 
In progress:
* 3 paper on Intraseasonal variability and its drivers over West/East Africa
* 3 paper on Evaluation of the skills of S2S variability in models
* 1 paper on Relationship between meningitis occurrence/atmospheric conditions over African meningitis
Planning: many papers are planned and they are mainly focused on:
* Modulation of rainfall by MJo over local scale
* Preditabiilty and prediction skill for monsoon onset in Senegal/ mechanisms
* Land surface changes drivers
* S2S Testbed Co-production, evolution of a technical testbed 

"		2019-12-01
D-R1.2	WP-R1	A report on user perceptions and needs for forecast products for different timescales and sectors in each country.	KNUST	Philip Antwi-Agyei	2019-12-01			0			2019-12-01
D-R4.4	WP-R4	Recommendations on best storm nowcasting practise for the SWIFT region, with appropriate training products and activities	KMD	John Marsham	2021-12-01	With two testbeds in Nairobi and Kumasi, there have been ongoing collaboration with additional tools being operationalized (NWCSAF) for example. While some centers are using VSAT to access the products, some use the web. As more participating centres submit their country nowcasting profiles, work is in progress. Only Kenya and ACMAD have their statuses known.		20	No papers yet.		2019-12-01
D-R2.3	WP-R2	Reports describing implementation of new metrics for CP evaluation against satellite data.	FUTA	Elijah Adefisan	2021-09-01	The modification is expected to be completed by end of January 2020 but further refinement will be carried out for ease of use and acceptabvility		50	Peer reviewed paper to be submitted by Feb/Mar 2020		2019-12-01
D-R5.4	WP-R5	Investigate and evaluate physical processes of synoptic systems in reanalysis	UoL	Juliane Schwendike	2020-12-01	Changed responsible person to Sam Clarke. Moved to M39.		30			2019-12-01
D-R1.3	WP-R1	Coproduced forecast communication tools that have been iteratively tested and refined with user groups, and recommendations for good practice.	UoL	Andrea Taylor	2021-02-01	This deliverable due in Feb 2021 will draw on findings of D-R1.1 and D-R1.2, as well as WP-R1 collaboration in Testbed 2 (S2S) activities and case studies. Elias Nkiaka and Victor Savatia represented WP-R1 at the testbed event, with Emma Visman providing input. As Elias Nkiaka’s contract is scheduled to end in March 2020, T-R1-3.1 (table collating recommendations for good practice in communication) will be completed by this date.		0			2019-12-01
D-R1.4	WP-R1	Joint deliverable  with WP-R2: User evaluation of forecast utility developed through direct provider/user interaction and user feedback in 1.2.2a-d, and guide to impact based forecasting	UoL	Andy Dougill	2021-06-01	This deliverable, scheduled for completion in June 2021, will also be linked to testbed activities. Discussions about this deliverable are ongoing, and will involve the UK Met Office. 		0			2019-12-01
D-R6.8	WP-R6	S2S forecast testbed	ICPAC	Zewdu Segele	2021-09-01	A co-production and user engagement process has started during a successful S2S testbed kickoff meeting held in Ngong, Kenya, from 18-22 November 2019. This initial engagement is an important cornerstone for a successful implementation of the S2S forecasting testbed in the coming two years.  	A discussion on the action plans for the next 2 years  and interim document outlining the action plan has been done. 	40			2020-01-17
D-R3.4	WP-R3	Enhanced capacity in African centres for analysing satellite data (all relevant channels) and using satellite products  -- as evidenced by good access to products, trained users, training material, use in interpretation of convective rainfall and how best to use in nowcasting.	ACMAD	Jennifer Fletcher	2021-08-01		Partners will have access to data obtained from EUMETCAST through local dishes supplied in SWIFT-NESSTT. Training has been given in Kumasi 2019 and will be followed up.	40			2020-02-12
D-PB.3	WP-PB	Meteorological training in Africa	ACMAD	D-PB.3	2021-01-01			0			2019-12-01
D-R2.1	WP-R2	Reports describing the implementation of eye-witness reports, radar and satellite observations over Africa for verification of severe weather forecasts (both synoptic and NWP).	KNUST	Leonard Amekudzi	2019-12-01			0			2019-12-01
D-R6.2	WP-R6	Scientific papers on S2S model evaluation	NCAS-C	Linda Hirons	2021-12-01	Many aspects of analysis of sub-seasonal forecast skill for Africa continuing including: Forecast skill for monthly and weekly rainfall and Monsoon Onset. Research on representation of S2S drivers continuing.    		40	"Andrade et al.:  Sub-seasonal prediction for Africa: forecast skill and sources of predictability (to be submitted Q1 2020)
Endris et al: Evaluation of the skill of monthly precipitation forecasts from global prediction systems over the GHA (to be submitted Q1 2020) "		2019-12-01
D-R6.5	WP-R6	Documentation on operational best practice	ANACIM	Oumar Konte	2021-12-01	Benchmarking survey's of current operational practice analysed and benchmarking report in preparation. Documents are gathered on case study and approaches on operational practice. Update: Data to be used are dowloaded. To be developed within the testbed2 as co-production process. 		30			2019-12-01
D-R3.6	WP-R3	Improvements made to NWC SAF satellite product that will produce improved nowcasting capability 	UoL	John Marsham	2020-12-01			0			2019-12-01
D-R3.7	WP-R3	Phase 2.  In-depth study of physical processes (dynamics and microphysics) in storms using more advanced satellite data	NCAS-AP	Jennifer Fletcher	2021-09-01		"Fletcher has been using TRMM PR-based datasets to conduct statistical studies of precipitating systems over tropical Africa. 4 March 2019 still not yet started.\r\n\r\nNot yet started
"	10			2020-02-12
D-R6.7	WP-R6	Updated chapter(s) for forecasters handbook	UoN	Joseph Mutemi	2021-06-01			0			2019-12-01
D-R4.3	WP-R4	Documented new scientific understanding of: (i) behaviour of convective storms in West and East Africa & dependence on local environment, (ii) the observed relationships between remotely-sensed storm properties and in-situ observations of high-impact weather, with peer-reviewed publications	NCAS-AP	Jennifer Fletcher	2021-12-01			0			2019-12-01
D-R5.5	WP-R5	Evaluate representation of synoptic system in models, i.e. in global and convection-permitting deterministic and ensemble simulations with the MetUM, as well as other operatinally used models such as WRF and COSMO  to determine the predictability of deep convection in different synoptic environments in Africa	UoL	Sam Clarke	2021-12-01			0			2019-12-01
D-R7.4	WP-R7	Report on storm predictability under different synoptic conditions in the context of CP ensemble forecasting	UoL	Beth Woodhams	2021-12-01			0			2019-12-01
D-C1.7	WP-C1	Forecaster training event Nowcasting	UoL	Doug Parker	2021-09-01			0			2019-12-01
D-C1.9	WP-C1	Summer school 2: many sub-tasks	UoL	Lorraine Youds	2021-07-01			0			2019-12-01
D-C1.11	WP-C1	Write a technical report on the use of case-studies for synoptic training	UoL	Doug Parker	2020-09-01			0			2019-12-01
D-R3.8	WP-R3	Land-surface analysis	CEH	Chris Taylor	2019-12-01	Josh will only start work in earnest on SWIFT in April 2020		0			2019-12-01
D-R5.3	WP-R5	Benchmark current state of knowledge on synoptic systems and HIW over East Africa (project document).Report was written by Jemimah.	KMD	Jemimah Gacheru	2019-08-01	completed the 1st draft and sent to the WP Leaders. The document is under review.  still awaiting commends 		40			2019-12-01
D-R2.5	WP-R2	Documentation on best practice for forecast evaluation over Africa.	KMD	David Koros	2020-09-01	" Verification data,verification results and developed and exchange  best verification practices and tested through test beds are ready. 
"		65			2019-12-01
D-R4.2	WP-R4	Documented evaluation of selected automated Nowcasting tool	GMet	Leonard Amekudzi	2021-12-01			45			2019-12-01
D-R5.1	WP-R5	Benchmark current operational practice (project document). 	UoN	Jospeh Mutemi	2018-12-01	"100% complete, coordinated by Joseph for East and West Africa.
"		100			2019-12-01
D-R7.3	WP-R7	Report on evaluation of ensemble forecast skill and optimal model configuration	UoL	Beth Woodhams	2021-04-01	Carlo has been doing some of the runs from T-1, due in 2020 (paper).		0			2019-12-01
D-R6.6	WP-R6	Training materials for summer schools	NCAS-C	Elisabeth Thompson	2020-08-01	Summer school lectures on sub-seasonal prediction and tropical waves and three session practical on sub-seasonal prediction of Monsoon Onset have been updated and finalised based on feedback and lessons learned from initial delivery in Kumasi, in preparation for future training and summer schools. 		85	Thompson, Wainwright and Hirons working on developing some of the Summer School analysis and resources into a West Africa Monsoon Onset paper. 		2019-12-01
D-C2.6	WP-C2	Documentation on Testbed 3. Papers.	UoL	Doug Parker	2021-10-01			0	Testbed 3 summary paper		2019-12-01
D-C1.1	WP-C1	Report on skills development in SWIFT	ACMAD	Elijah Adefisan	2021-09-01	"The skills matrix developed, questionnaires generated, posted as google forms and completed during Summer School and Science Meeting in Kumasi, Ghana.
"	The Deliverable report was submitted on 17th January 2020.	100		17-01-2020	2020-01-17
D-C1.2	WP-C1	Collate and compare syllabuses (universities and RTCs) and analyse against subject benchmarks. Write a paper on the conclusions and recommendations.	ACMAD	Elijah Adefisan	2019-09-01		Documents describing subject benchmarks from all partners involve in training have been collected and analysed, areas of deficiency identified and used in planning training workshop for 2020. Paper under development.	70	Under development		2020-01-17
D-C1.4	WP-C1	Generate new training materials for use in Africa, based on and supporting new research.	ACMAD	Elijah Adefisan	2021-09-01		Teaching materials from Forecasters Handbook (WA) for 8 chapters have been created and sent to Lead authors for approval before releasing them online.	60			2020-01-17
D-M1.17	WP-M1	Science Programme Director to travel to African Partner Institutions	ACMAD	Elijah Adefisan	2021-02-01		The Programme Science Director has traveled to all African Partners in 2019 in company of the Project Manager. There will be another set of travelling round in 2021	100			2020-01-17
D-R6.4	WP-R6	New documented operational products and tools	ACMAD	Bob Alex Ogwang	2021-12-01		Produced 24 bulletins for the weekly meningitis vigilance during last year, automated generation of products need in the technical note of the season forecast, started co-production for S2S, Scientific analysis on 	30			2020-01-17
D-M1.27	WP-M1	Case study A	ACMAD	Elijah Adefisan	2019-12-01		Case study A tries to investigate the dynamics of very wet season of March to June (MAMJ) of 2018 and very dry of MAMJ of 2019. It is observed that the analysis and results cut across all the WPs and being led by Dr. J. Mutemi of UoN. Work is in progress	10	Minimum of three papers are to be published from the research.		2020-01-17
D-C1.10	WP-C1	Fellowships: advertise, assess and appoint.	NCAS-AP	Lorraine Youds	2019-09-01		"First 3 fellowships near completion and in the review stage. Applications for the second round of fellowships (""Focus on women"") are in review. Reschedule due date to 1 March 2020."	80	No papers planned.		2020-01-19
D-C2.1	WP-C2	Carry out Testbed 1	UoL	Jennifer Fletcher	2019-08-01		Testbed 1 completed May 2019. Provisional draft report presented at Science Meeting in July 2019. Final report is being finalised now (Jan 2020). A paper will be submitted.	100	Testbed paper, describing the procedures, and the key lessons learned about forecasting and nowcasting. To be led by jennifer Fletcher.		2020-01-19
D-C2.2	WP-C2	Documentation on Testbed 1 including a paper.	UoL	Jennifer Fletcher	2019-12-01		Testbed report is being finalised Jan 2020 and paper will emerge from this. Extend deadline to 1 April 2020.	60	Testbed 1 paper in prep.		2020-01-19
D-R3.5	WP-R3	Phase 1. Case/satistical studies of evolution of storms using satellite products.	NCAS-AP	Jennifer Fletcher	2019-12-01	Delay tasks 12 months and contain paper first drafts? To discuss with task leaders.	Delay tasks 12 months and contain paper first drafts? To discuss with task leaders.	0			2020-01-19
D-R2.6	WP-R2	Training school on best practice for forecast evaluation over Africa.	UoR	Thorwald Stein	2021-09-01			0			2019-12-01
D-C2.5	WP-C2	Carry out Testbed 3 (nowcasting to synoptic)	UoL	Doug Parker	2021-10-01			0			2019-12-01
D-C2.8	WP-C2	Forecast demonstration exercise in Ghana. GMet to be the local leader.	UoL	Ben Lamptey	2020-12-01			0	Summary paper		2019-12-01
D-C2.9	WP-C2	Development of new recommendations for Standard Operating Procedures for forecasting. To involve Met Office, Leeds, and the African operational centres in SWIFT.	ACMAD	Andre Kamga Foamouhoue	2021-09-01			0	Position paper or policy brief		2019-12-01
D-M1.1	WP-M1	Leadership of cross-cutting activities such as fellowships, secondments, summer schools, etc.	NCAS-AP	Lorraine Youds	2021-12-01			0	ECR access to career opportunities		2019-12-01
D-M1.3	WP-M1	Scientific reporting	NCAS-AP	Lorraine Youds	2021-12-01			0			2019-12-01
D-C2.3	WP-C2	Carry out Testbed 2 (S2S)	ICPAC	Zewdu Segele	2021-09-01	A one-week S2S testbed  kickoff meeting was done from the 18th to 22d of November 2019, at ICPAC Headquarters in Ngong, Kenya. The testbed brought along users that were identified by the different partner institutions.  The testbed will run for the next 2 years, which coincides with the time period when access to S2S datasets was granted. 	Report summarizing the workshop event has been done. 	45			2020-01-17
D-M1.29	WP-M1	Case study C	ACMAD	Elijah Adefisan	2019-12-01		A case of probably eastward, slow-moving but heavy precipitation MCSs from Senegal to Ghana was to be investigated by Ghana and Senegal teams. It is jointly led by Mr Joseph Portuphy and Dr Abdoulahat, It is expected to cut across all WPs.	20	A minimum of three papers are expected as final deliverables.		2020-01-17
D-M1.6	WP-M1	Communications Strategy	NCAS-AP	Rosaleen McDonnell	2018-06-01		Completed on time.	100	No paper planned.		2020-01-19
D-M1.5	WP-M1	LogFrame and ToC	NCAS-AP	Lorraine Youds	2018-09-01		First draft submitted with Stage Gate review. Second draft review following Kumasi Science Meeting 2019.	100	No paper.		2020-01-19
D-M1.7	WP-M1	Data protocol plan	NCAS-AP	Lorraine Youds	2018-09-01		First draft completed for Stage Gate. needs review and updating.	100	No paper.		2020-01-19
D-M1.9	WP-M1	Stage Gate Review	NCAS-AP	Lorraine Youds	2018-09-01		Completed successfully.	100	No paper.		2020-01-19
D-M1.4	WP-M1	Monitoring indicators (MEL) and MEL protocol	NCAS-AP	Lorraine Youds	2019-09-01		Indicators designed and reviewed at Kumasi meeting, July 2019. Review ongoing.	100			2020-01-19
