D-C1.11	WP-C1	Write a technical report on the use of case-studies for synoptic training	36		0	UoL	
D-C2.1	WP-C2	Carry out Testbed 1	23		0	UoL	
D-C2.2	WP-C2	Documentation on Testbed 1 including a paper.	27		0	UoL	Testbed 1 paper in prep.
D-C2.3	WP-C2	Carry out Testbed 2 (S2S)	48		0	ICPAC	
D-C2.4	WP-C2	Documentation on Testbed 2. Papers.	48		0	ICPAC	Testbed 2 summary paper needed
D-C2.5	WP-C2	Carry out Testbed 3 (nowcasting to synoptic)	49		0	UoL	
D-C2.6	WP-C2	Documentation on Testbed 3. Papers.	49		0	UoL	Testbed 3 summary paper
D-C2.7	WP-C2	Forecast demonstration exercise in Kenya	36		0	KMD	Summary paper
D-C2.8	WP-C2	Forecast demonstration exercise in Ghana. GMet to be the local leader.	39		0	UoL	Summary paper
D-C2.9	WP-C2	Development of new recommendations for Standard Operating Procedures for forecasting. To involve Met Office, Leeds, and the African operational centres in SWIFT.	48		0	ACMAD	Position paper or policy brief
D-M1.1	WP-M1	Leadership of cross-cutting activities such as fellowships, secondments, summer schools, etc.	51		0	NCAS-AP	ECR access to career opportunities
D-M1.2	WP-M1	SWIFT 4-Year Plan (calendar of events)	12		0	NCAS-AP	
D-M1.3	WP-M1	Scientific reporting	51		0	NCAS-AP	
D-M1.4	WP-M1	Monitoring indicators (MEL) and MEL protocol	24		0	NCAS-AP	
D-M1.5	WP-M1	LogFrame and ToC	12		0	NCAS-AP	
D-M1.6	WP-M1	Communications Strategy	9		0	NCAS-AP	
D-M1.7	WP-M1	Data protocol plan	12		0	NCAS-AP	
D-M1.8	WP-M1	Communications: website, promotional materials, advertising, coordination of articles published, logo, etc.	12		0	NCAS-AP	
D-M1.9	WP-M1	Stage Gate Review	12		0	NCAS-AP	
D-M1.10	WP-M1	Annual reporting to RCUK/GCRF	48		0	NCAS-AP	
D-M1.11	WP-M1	Assurance Documentation	12		0	NCAS-AP	
D-M1.12	WP-M1	Whole project meeting 2019	23		0	NCAS-AP	
D-M1.13	WP-M1	Whole project meeting 2020	36		0	NCAS-AP	
D-M1.14	WP-M1	Whole project meeting 2021	48		0	NCAS-AP	
D-M1.15	WP-M1	Documentation workshop	30		0	NCAS-AP	
D-M1.16	WP-M1	Lead Scientist and Programme Manager travel to partner institutions	30		0	NCAS-AP	
D-M1.17	WP-M1	Science Programme Director to travel to African Partner Institutions	41		0	ACMAD	
D-M1.18	WP-M1	Aligning the WPs (cross-cutting activities)	24		0	ACMAD	
D-M1.19	WP-M1	Development of best practice for university funded GCRF programmes	30		0	NCAS-AP	Position paper
D-M1.20	WP-M1	Due Diligence	30		0	NCAS-AP	
D-M1.21	WP-M1	Collaboration Agreement	6		0	NCAS-AP	
D-M1.22	WP-M1	Risk Register	6		0	NCAS-AP	
D-M1.23	WP-M1	Financial Management Plan	6		0	NCAS-AP	
D-M1.24	WP-M1	Recruitment	6		0	NCAS-AP	
D-M1.25	WP-M1	Budgeting & Finance protocol	12		0	NCAS-AP	
D-M1.26	WP-M1	Meetings: Exec, Advisory, WPs	51		0	NCAS-AP	
D-M1.27	WP-M1	Case study A	27		0	ACMAD	
D-M1.28	WP-M1	Case study B	27		0	ACMAD	
D-M1.29	WP-M1	Case study C	27		0	ACMAD	
D-M2.1	WP-M2	Partnerships: a coordinated set of partnerships which contribute to the SWIFT outcomes.	14		0	ACMAD	
D-M2.2	WP-M2	Documentation of user-needs methodologies. This could be a new Forecasters' Handbook chapter - to be discussed.	24		0	ACMAD	
D-M2.3	WP-M2	New Handbook chapter on Forecast Evaluation	39		0	ACMAD	
D-M2.4	WP-M2	Updated Handbook material on Nowcasting for Africa.	39		0	ACMAD	
D-M2.5	WP-M2	Updated Handbook material on ensemble prediction for Africa.	39		0	ACMAD	
D-M2.6	WP-M2	Updated Handbook material on S2S forecasting for West Africa.	39		0	ACMAD	
D-M2.7	WP-M2	Produce a Forecasters' Handbook for East Africa.	51		0	ACMAD	
D-M2.8	WP-M2	Report on journal access from Africa	27		0	GMet	
